qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner io_heavy.txt hints.txt
TRACE tick=84 pid=5 pri=0 slice=0
TRACE tick=85 pid=5 pri=0 slice=0
TRACE tick=85 pid=5 pri=0 slice=0
TRACE tick=85 pid=5 pri=0 slice=0
TRACE tick=85 pid=4 pri=0 slice=0
TRACE tick=85 pid=5 pri=0 slice=0
TRACE tick=86 pid=5 pri=0 slice=0
TRACE tick=86 pid=5 pri=0 slice=0
TRACE tick=86 pid=6 pri=0 slice=0
TRACE tick=86 pid=5 pri=0 slice=0
TRACE tick=86 pid=5 pri=0 slice=0
TRACE tick=86 pid=5 pri=0 slice=0
TRACE tick=87 pid=5 pri=0 slice=0
TRACE tick=87 pid=5 pri=0 slice=0
TRACE tick=87 pid=4 pri=0 slice=0
TRACE tick=87 pid=5 pri=0 slice=0
TRACE tick=87 pid=6 pri=0 slice=0
TRACE tick=87 pid=5 pri=0 slice=0
TRACE tick=88 pid=7 pri=0 slice=0
TRACE tick=88 pid=5 pri=0 slice=0
TRACE tick=88 pid=5 pri=0 slice=0
TRACE tick=88 pid=5 pri=0 slice=0
TRACE tick=88 pid=5 pri=0 slice=0
TRACE tick=88 pid=5 pri=0 slice=0
TRACE tick=89 pid=5 pri=0 slice=0
TRACE tick=89 pid=5 pri=0 slice=0
TRACE tick=89 pid=5 pri=0 slice=0
TRACE tick=89 pid=4 pri=0 slice=0
TRACE tick=90 pid=4 pri=0 slice=0
TRACE tick=90 pid=4 pri=0 slice=0
TRACE tick=90 pid=4 pri=0 slice=0
TRACE tick=90 pid=4 pri=0 slice=0
TRACE tick=90 pid=4 pri=0 slice=0
TRACE tick=91 pid=5 pri=0 slice=0
TRACE tick=91 pid=4 pri=0 slice=0
TRACE tick=91 pid=4 pri=0 slice=0
TRACE tick=91 pid=4 pri=0 slice=0
TRACE tick=92 pid=4 pri=0 slice=0
TRACE tick=92 pid=4 pri=0 slice=0
TRACE tick=92 pid=4 pri=0 slice=0
TRACE tick=92 pid=5 pri=0 slice=0
TRACE tick=92 pid=4 pri=0 slice=0
TRACE tick=92 pid=6 pri=0 slice=0
TRACE tick=93 pid=4 pri=0 slice=0
TRACE tick=93 pid=7 pri=0 slice=0
TRACE tick=93 pid=4 pri=0 slice=0
TRACE tick=93 pid=4 pri=0 slice=0
TRACE tick=93 pid=4 pri=0 slice=0
TRACE tick=94 pid=5 pri=0 slice=0
TRACE tick=94 pid=4 pri=0 slice=0
TRACE tick=94 pid=6 pri=0 slice=0
TRACE tick=94 pid=4 pri=0 slice=0
TRACE tick=94 pid=7 pri=0 slice=0
TRACE tick=94 pid=4 pri=0 slice=0
TRACE tick=95 pid=4 pri=0 slice=0
TRACE tick=95 pid=4 pri=0 slice=0
TRACE tick=95 pid=4 pri=0 slice=0
TRACE tick=95 pid=4 pri=0 slice=0
TRACE tick=95 pid=4 pri=0 slice=0
TRACE tick=96 pid=4 pri=0 slice=0
TRACE tick=96 pid=4 pri=0 slice=0
TRACE tick=96 pid=5 pri=0 slice=0
TRACE tick=96 pid=6 pri=0 slice=0
TRACE tick=97 pid=4 pri=0 slice=0
TRACE tick=97 pid=5 pri=0 slice=0
TRACE tick=97 pid=7 pri=0 slice=0
TRACE tick=97 pid=5 pri=0 slice=0
TRACE tick=97 pid=5 pri=0 slice=0
TRACE tick=97 pid=5 pri=0 slice=0
TRACE tick=98 pid=5 pri=0 slice=0
TRACE tick=98 pid=5 pri=0 slice=0
TRACE tick=98 pid=5 pri=0 slice=0
TRACE tick=98 pid=5 pri=0 slice=0
TRACE tick=98 pid=4 pri=0 slice=0
TRACE tick=98 pid=5 pri=0 slice=0
TRACE tick=99 pid=6 pri=0 slice=0
TRACE tick=99 pid=5 pri=0 slice=0
TRACE tick=99 pid=5 pri=0 slice=0
TRACE tick=99 pid=5 pri=0 slice=0
TRACE tick=99 pid=7 pri=0 slice=0
TRACE tick=99 pid=5 pri=0 slice=0
TRACE tick=100 pid=5 pri=0 slice=0
TRACE tick=100 pid=5 pri=0 slice=0
TRACE tick=100 pid=5 pri=0 slice=0
TRACE tick=100 pid=4 pri=0 slice=0
TRACE tick=101 pid=5 pri=0 slice=0
TRACE tick=101 pid=6 pri=0 slice=0
TRACE tick=101 pid=5 pri=0 slice=0
TRACE tick=101 pid=7 pri=0 slice=0
TRACE tick=101 pid=5 pri=0 slice=0
TRACE tick=102 pid=5 pri=0 slice=0
TRACE tick=102 pid=5 pri=0 slice=0
