qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner mixed.txt hints.txt
TRACE tick=107 pid=7 pri=0 slice=0
TRACE tick=107 pid=7 pri=0 slice=0
TRACE tick=107 pid=7 pri=0 slice=0
TRACE tick=107 pid=9 pri=0 slice=0
TRACE tick=107 pid=7 pri=0 slice=0
TRACE tick=107 pid=7 pri=0 slice=0
TRACE tick=107 pid=10 pri=0 slice=0
TRACE tick=108 pid=7 pri=0 slice=0
TRACE tick=108 pid=9 pri=0 slice=0
TRACE tick=108 pid=7 pri=0 slice=0
TRACE tick=108 pid=7 pri=0 slice=0
TRACE tick=108 pid=8 pri=0 slice=0
TRACE tick=108 pid=7 pri=0 slice=0
TRACE tick=108 pid=7 pri=0 slice=0
TRACE tick=109 pid=7 pri=0 slice=0
TRACE tick=109 pid=7 pri=0 slice=0
TRACE tick=109 pid=7 pri=0 slice=0
TRACE tick=109 pid=7 pri=0 slice=0
TRACE tick=109 pid=7 pri=0 slice=0
TRACE tick=109 pid=9 pri=0 slice=0
TRACE tick=109 pid=7 pri=0 slice=0
TRACE tick=110 pid=7 pri=0 slice=0
TRACE tick=110 pid=8 pri=0 slice=0
TRACE tick=110 pid=7 pri=0 slice=0
TRACE tick=110 pid=9 pri=0 slice=0
TRACE tick=110 pid=7 pri=0 slice=0
TRACE tick=110 pid=10 pri=0 slice=0
TRACE tick=110 pid=7 pri=0 slice=0
TRACE tick=111 pid=9 pri=0 slice=0
TRACE tick=111 pid=7 pri=0 slice=0
TRACE tick=111 pid=7 pri=0 slice=0
TRACE tick=111 pid=7 pri=0 slice=0
TRACE tick=111 pid=7 pri=0 slice=0
TRACE tick=111 pid=7 pri=0 slice=0
io_burner pid=7 done ops=2TRACE tick=111 pid=7 pri=0 slice=0
5
EXIT pid=7 name=io_burner arrival=23 completion=112 run=10 ioblock=217 final_pri=0
TRACE tick=112 pid=7 pri=0 slice=1
TRACE tick=112 pid=3 pri=0 slice=0
EXIT pid=8 name=cpu_burner arrival=24 completion=112 run=2 ioblock=21 final_pri=0
TRACE tick=112 pid=8 pri=0 slice=0
TRACE tick=113 pid=8 pri=0 slice=1
TRACE tick=113 pid=3 pri=0 slice=0
TRACE tick=113 pid=9 pri=0 slice=0
TRACE tick=113 pid=10 pri=0 slice=0
TRACE tick=113 pid=10 pri=0 slice=0
TRACE tick=114 pid=9 pri=0 slice=0
TRACE tick=114 pid=10 pri=0 slice=0
TRACE tick=114 pid=10 pri=0 slice=0
TRACE tick=114 pid=10 pri=0 slice=0
TRACE tick=114 pid=10 pri=0 slice=0
TRACE tick=114 pid=10 pri=0 slice=0
TRACE tick=115 pid=9 pri=0 slice=0
TRACE tick=115 pid=10 pri=0 slice=0
TRACE tick=115 pid=10 pri=0 slice=0
TRACE tick=115 pid=10 pri=0 slice=0
TRACE tick=115 pid=10 pri=0 slice=0
TRACE tick=115 pid=10 pri=0 slice=0
TRACE tick=115 pid=10 pri=0 slice=0
TRACE tick=116 pid=9 pri=0 slice=0
TRACE tick=116 pid=10 pri=0 slice=0
TRACE tick=116 pid=10 pri=0 slice=0
TRACE tick=116 pid=10 pri=0 slice=0
TRACE tick=116 pid=10 pri=0 slice=0
TRACE tick=116 pid=10 pri=0 slice=0
TRACE tick=116 pid=10 pri=0 slice=0
TRACE tick=117 pid=9 pri=0 slice=0
TRACE tick=117 pid=10 pri=0 slice=0
TRACE tick=117 pid=10 pri=0 slice=0
TRACE tick=117 pid=10 pri=0 slice=0
TRACE tick=117 pid=10 pri=0 slice=0
TRACE tick=117 pid=10 pri=0 slice=0
TRACE tick=117 pid=10 pri=0 slice=0
TRACE tick=117 pid=10 pri=0 slice=0
mixed_burner pid=9 done iters=30 acc=891076593
TRACE tick=118 pid=9 pri=0 slice=0
TRACE tick=118 pid=10 pri=0 slice=0
EXIT pid=9 name=mixed_burner arrival=24 completion=118 run=0 ioblock=6 final_pri=0
TRACE tick=118 pid=9 pri=0 slice=0
TRACE tick=118 pid=3 pri=0 slice=0
TRACE tick=119 pid=10 pri=0 slice=0
TRACE tick=119 pid=10 pri=0 slice=0
TRACE tick=119 pid=10 pri=0 slice=0
TRACE tick=119 pid=10 pri=0 slice=0
TRACE tick=119 pid=10 pri=0 slice=0
TRACE tick=119 pid=10 pri=0 slice=0
TRACE tick=120 pid=10 pri=0 slice=1
TRACE tick=120 pid=10 pri=0 slice=0
TRACE tick=120 pid=10 pri=0 slice=0
TRACE tick=120 pid=10 pri=0 slice=0
TRACE tick=120 pid=10 pri=0 slice=0
TRACE tick=120 pid=10 pri=0 slice=0
TRACE tick=120 pid=10 pri=0 slice=0
TRACE tick=121 pid=10 pri=0 slice=1
TRACE tick=121 pid=10 pri=0 slice=0
TRACE tick=121 pid=10 pri=0 slice=0
TRACE tick=121 pid=10 pri=0 slice=0
TRACE tick=121 pid=10 pri=0 slice=0
TRACE tick=121 pid=10 pri=0 slice=0
TRACE tick=122 pid=10 pri=0 slice=0
TRACE tick=122 pid=10 pri=0 slice=0
TRACE tick=122 pid=10 pri=0 slice=0
TRACE tick=122 pid=10 pri=0 slice=0
TRACE tick=122 pid=10 pri=0 slice=0
TRACE tick=122 pid=10 pri=0 slice=0
TRACE tick=122 pid=10 pri=0 slice=0
TRACE tick=123 pid=10 pri=0 slice=0
TRACE tick=123 pid=10 pri=0 slice=0
TRACE tick=123 pid=10 pri=0 slice=0
TRACE tick=124 pid=10 pri=0 slice=0
TRACE tick=124 pid=10 pri=0 slice=0
TRACE tick=124 pid=10 pri=0 slice=0
TRACE tick=124 pid=10 pri=0 slice=0
TRACE tick=124 pid=10 pri=0 slice=0
TRACE tick=124 pid=10 pri=0 slice=0
TRACE tick=125 pid=10 pri=0 slice=1
TRACE tick=125 pid=10 pri=0 slice=0
TRACE tick=125 pid=10 pri=0 slice=0
TRACE tick=125 pid=10 pri=0 slice=0
TRACE tick=125 pid=10 pri=0 slice=0
TRACE tick=125 pid=10 pri=0 slice=0
TRACE tick=126 pid=10 pri=0 slice=0
TRACE tick=126 pid=10 pri=0 slice=0
TRACE tick=126 pid=10 pri=0 slice=0
TRACE tick=126 pid=10 pri=0 slice=0
TRACE tick=126 pid=10 pri=0 slice=0
TRACE tick=126 pid=10 pri=0 slice=0
TRACE tick=127 pid=10 pri=0 slice=1
TRACE tick=127 pid=10 pri=0 slice=0
TRACE tick=127 pid=10 pri=0 slice=0
TRACE tick=127 pid=10 pri=0 slice=0
TRACE tick=127 pid=10 pri=0 slice=0
TRACE tick=127 pid=10 pri=0 slice=0
TRACE tick=128 pid=10 pri=0 slice=0
TRACE tick=128 pid=10 pri=0 slice=0
TRACE tick=128 pid=10 pri=0 slice=0
TRACE tick=128 pid=10 pri=0 slice=0
TRACE tick=128 pid=10 pri=0 slice=0
TRACE tick=129 pid=10 pri=0 slice=0
TRACE tick=129 pid=10 pri=0 slice=0
TRACE tick=129 pid=10 pri=0 slice=0
TRACE tick=129 pid=10 pri=0 slice=0
TRACE tick=129 pid=10 pri=0 slice=0
TRACE tick=129 pid=10 pri=0 slice=0
