make: Warning: File 'fs.img' has modification time 0.23 s in the future
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner realprog.txt hints.txt
sTRACE tick=77 pid=4 pri=0 slice=0
.TRACE tick=77 pid=4 pri=0 slice=0
cTRACE tick=77 pid=4 pri=0 slice=0
sTRACE tick=77 pid=4 pri=0 slice=0
aTRACE tick=77 pid=4 pri=0 slice=0
iTRACE tick=77 pid=4 pri=0 slice=0
lTRACE tick=78 pid=4 pri=0 slice=0
.TRACE tick=78 pid=4 pri=0 slice=0
mTRACE tick=78 pid=4 pri=0 slice=0
iTRACE tick=78 pid=4 pri=0 slice=0
tTRACE tick=78 pid=4 pri=0 slice=0
.TRACE tick=78 pid=4 pri=0 slice=0
eTRACE tick=78 pid=4 pri=0 slice=0
dTRACE tick=78 pid=4 pri=0 slice=0
uTRACE tick=78 pid=4 pri=0 slice=0
/TRACE tick=79 pid=4 pri=0 slice=0
6TRACE tick=79 pid=4 pri=0 slice=0
.1TRACE tick=79 pid=4 pri=0 slice=0
8TRACE tick=79 pid=4 pri=0 slice=0
1TRACE tick=79 pid=4 pri=0 slice=0
0TRACE tick=79 pid=4 pri=0 slice=0
/TRACE tick=79 pid=4 pri=0 slice=0
,TRACE tick=79 pid=4 pri=0 slice=0
 TRACE tick=79 pid=4 pri=0 slice=0
wTRACE tick=80 pid=4 pri=0 slice=0
hTRACE tick=80 pid=4 pri=0 slice=0
iTRACE tick=80 pid=4 pri=0 slice=0
cTRACE tick=80 pid=4 pri=0 slice=0
hTRACE tick=80 pid=4 pri=0 slice=0
 TRACE tick=80 pid=4 pri=0 slice=0
pTRACE tick=80 pid=4 pri=0 slice=0
rTRACE tick=80 pid=4 pri=0 slice=0
oTRACE tick=80 pid=4 pri=0 slice=0
vTRACE tick=81 pid=4 pri=0 slice=0
iTRACE tick=81 pid=4 pri=0 slice=0
dTRACE tick=81 pid=4 pri=0 slice=0
eTRACE tick=81 pid=4 pri=0 slice=0
sTRACE tick=81 pid=4 pri=0 slice=0
TRACE tick=81 pid=4 pri=0 slice=0

TRACE tick=81 pid=4 pri=0 slice=0
pTRACE tick=82 pid=4 pri=0 slice=0
oTRACE tick=82 pid=4 pri=0 slice=0
iTRACE tick=82 pid=4 pri=0 slice=0
nTRACE tick=82 pid=4 pri=0 slice=0
tTRACE tick=82 pid=4 pri=0 slice=0
eTRACE tick=82 pid=4 pri=0 slice=0
rTRACE tick=82 pid=4 pri=0 slice=0
sTRACE tick=82 pid=4 pri=0 slice=0
 tTRACE tick=82 pid=4 pri=0 slice=0
oTRACE tick=83 pid=4 pri=0 slice=0
 TRACE tick=83 pid=4 pri=0 slice=0
oTRACE tick=83 pid=4 pri=0 slice=0
nTRACE tick=83 pid=4 pri=0 slice=0
-TRACE tick=83 pid=4 pri=0 slice=0
lTRACE tick=83 pid=4 pri=0 slice=0
iTRACE tick=83 pid=4 pri=0 slice=0
nTRACE tick=83 pid=4 pri=0 slice=0
eTRACE tick=83 pid=4 pri=0 slice=0
 TRACE tick=84 pid=4 pri=0 slice=0
rTRACE tick=84 pid=4 pri=0 slice=0
eTRACE tick=84 pid=4 pri=0 slice=0
sTRACE tick=84 pid=4 pri=0 slice=0
oTRACE tick=84 pid=4 pri=0 slice=0
uTRACE tick=84 pid=4 pri=0 slice=0
rTRACE tick=84 pid=4 pri=0 slice=0
cTRACE tick=84 pid=4 pri=0 slice=0
eTRACE tick=84 pid=4 pri=0 slice=0
sTRACE tick=85 pid=4 pri=0 slice=0
 TRACE tick=85 pid=4 pri=0 slice=0
fTRACE tick=85 pid=4 pri=0 slice=0
oTRACE tick=85 pid=4 pri=0 slice=0
rTRACE tick=85 pid=4 pri=0 slice=0
 TRACE tick=85 pid=4 pri=0 slice=0
vTRACE tick=85 pid=4 pri=0 slice=0
6TRACE tick=85 pid=4 pri=0 slice=0
.TRACE tick=85 pid=4 pri=0 slice=0
TRACE tick=86 pid=4 pri=0 slice=0

TRACE tick=86 pid=4 pri=0 slice=0
TRACE tick=86 pid=4 pri=0 slice=0

TTRACE tick=86 pid=4 pri=0 slice=0
hTRACE tick=86 pid=4 pri=0 slice=0
eTRACE tick=86 pid=4 pri=0 slice=0
 TRACE tick=86 pid=4 pri=0 slice=0
fTRACE tick=86 pid=4 pri=0 slice=0
oTRACE tick=86 pid=4 pri=0 slice=0
lTRACE tick=87 pid=4 pri=0 slice=0
lTRACE tick=87 pid=4 pri=0 slice=0
oTRACE tick=87 pid=4 pri=0 slice=0
wTRACE tick=87 pid=4 pri=0 slice=0
iTRACE tick=87 pid=4 pri=0 slice=0
nTRACE tick=87 pid=4 pri=0 slice=0
gTRACE tick=87 pid=4 pri=0 slice=0
 TRACE tick=87 pid=4 pri=0 slice=0
pTRACE tick=87 pid=4 pri=0 slice=0
eTRACE tick=88 pid=4 pri=0 slice=0
oTRACE tick=88 pid=4 pri=0 slice=0
pTRACE tick=88 pid=4 pri=0 slice=0
lTRACE tick=88 pid=4 pri=0 slice=0
eTRACE tick=88 pid=4 pri=0 slice=0
 TRACE tick=88 pid=4 pri=0 slice=0
hTRACE tick=88 pid=4 pri=0 slice=0
aTRACE tick=88 pid=4 pri=0 slice=0
vTRACE tick=88 pid=4 pri=0 slice=0
eTRACE tick=89 pid=4 pri=0 slice=0
 TRACE tick=89 pid=4 pri=0 slice=0
mTRACE tick=89 pid=4 pri=0 slice=0
aTRACE tick=89 pid=4 pri=0 slice=0
dTRACE tick=89 pid=4 pri=0 slice=0
eTRACE tick=89 pid=4 pri=0 slice=0
 TRACE tick=89 pid=4 pri=0 slice=0
coTRACE tick=89 pid=4 pri=0 slice=0
nTRACE tick=90 pid=4 pri=0 slice=0
tTRACE tick=90 pid=4 pri=0 slice=0
rTRACE tick=90 pid=4 pri=0 slice=0
iTRACE tick=90 pid=4 pri=0 slice=0
bTRACE tick=90 pid=4 pri=0 slice=0
uTRACE tick=90 pid=4 pri=0 slice=0
